year,category,amount,source_file
2014,1.稅課收入,1271304000,103c歲入歲出簡明比較分析表.xls
2014,2.營業盈餘及事業收入,258911621,103c歲入歲出簡明比較分析表.xls
2014,3.規費及罰款收入,81020541,103c歲入歲出簡明比較分析表.xls
2014,4.財產收入,85885098,103c歲入歲出簡明比較分析表.xls
2014,5.其他收入,10035471,103c歲入歲出簡明比較分析表.xls
2014,1.一般政務支出,178596832,103c歲入歲出簡明比較分析表.xls
2014,2.國防支出,304316974,103c歲入歲出簡明比較分析表.xls
2014,3.教育科學文化支出,369044520,103c歲入歲出簡明比較分析表.xls
2014,4.經濟發展支出,269622508,103c歲入歲出簡明比較分析表.xls
2014,5.社會福利支出,423638561,103c歲入歲出簡明比較分析表.xls
2014,6.社區發展及環境保護支出,16800956,103c歲入歲出簡明比較分析表.xls
2014,7.退休撫卹支出,138052369,103c歲入歲出簡明比較分析表.xls
2014,8.債務支出,127537620,103c歲入歲出簡明比較分析表.xls
2014,9.一般補助及其他支出,88617374,103c歲入歲出簡明比較分析表.xls
2015,1.稅課收入,1319405000,104c歲入歲出簡明比較分析表.xls
2015,2.營業盈餘及事業收入,255005120,104c歲入歲出簡明比較分析表.xls
2015,3.規費及罰款收入,105673839,104c歲入歲出簡明比較分析表.xls
2015,4.財產收入,86768374,104c歲入歲出簡明比較分析表.xls
2015,5.其他收入,9850400,104c歲入歲出簡明比較分析表.xls
2015,1.一般政務支出,179407969,104c歲入歲出簡明比較分析表.xls
2015,2.國防支出,305969096,104c歲入歲出簡明比較分析表.xls
2015,3.教育科學文化支出,382857340,104c歲入歲出簡明比較分析表.xls
2015,4.經濟發展支出,259787381,104c歲入歲出簡明比較分析表.xls
2015,5.社會福利支出,441199250,104c歲入歲出簡明比較分析表.xls
2015,6.社區發展及環境保護支出,16517012,104c歲入歲出簡明比較分析表.xls
2015,7.退休撫卹支出,141607313,104c歲入歲出簡明比較分析表.xls
2015,8.債務支出,126753380,104c歲入歲出簡明比較分析表.xls
2015,9.一般補助及其他支出,80537294,104c歲入歲出簡明比較分析表.xls
2016,1.稅課收入,1440009000,105c歲入歲出簡明比較分析表.xls
2016,2.營業盈餘及事業收入,238245009,105c歲入歲出簡明比較分析表.xls
2016,3.規費及罰款收入,79065974,105c歲入歲出簡明比較分析表.xls
2016,4.財產收入,51880533,105c歲入歲出簡明比較分析表.xls
2016,5.其他收入,13177257,105c歲入歲出簡明比較分析表.xls
2016,1.一般政務支出,186984533,105c歲入歲出簡明比較分析表.xls
2016,2.國防支出,309804883,105c歲入歲出簡明比較分析表.xls
2016,3.教育科學文化支出,387850906,105c歲入歲出簡明比較分析表.xls
2016,4.經濟發展支出,267254254,105c歲入歲出簡明比較分析表.xls
2016,5.社會福利支出,460609627,105c歲入歲出簡明比較分析表.xls
2016,6.社區發展及環境保護支出,17975720,105c歲入歲出簡明比較分析表.xls
2016,7.退休撫卹支出,147210351,105c歲入歲出簡明比較分析表.xls
2016,8.債務支出,123311322,105c歲入歲出簡明比較分析表.xls
2016,9.一般補助及其他支出,74864705,105c歲入歲出簡明比較分析表.xls
2017,1.稅課收入,1469310000,106c歲入歲出簡明比較分析表.xls
2017,2.營業盈餘及事業收入,224406799,106c歲入歲出簡明比較分析表.xls
2017,3.規費及罰款收入,98978836,106c歲入歲出簡明比較分析表.xls
2017,4.財產收入,37340385,106c歲入歲出簡明比較分析表.xls
2017,5.其他收入,11415384,106c歲入歲出簡明比較分析表.xls
2017,1.一般政務支出,180128272,106c歲入歲出簡明比較分析表.xls
2017,2.國防支出,307871518,106c歲入歲出簡明比較分析表.xls
2017,3.教育科學文化支出,408867011,106c歲入歲出簡明比較分析表.xls
2017,4.經濟發展支出,259638943,106c歲入歲出簡明比較分析表.xls
2017,5.社會福利支出,476533146,106c歲入歲出簡明比較分析表.xls
2017,6.社區發展及環境保護支出,17156817,106c歲入歲出簡明比較分析表.xls
2017,7.退休撫卹支出,139839129,106c歲入歲出簡明比較分析表.xls
2017,8.債務支出,112155738,106c歲入歲出簡明比較分析表.xls
2017,9.補助及其他支出,71805373,106c歲入歲出簡明比較分析表.xls
2018,1.稅課收入,1577495000,107c歲入歲出簡明比較分析表.xls
2018,2.營業盈餘及事業收入,224808487,107c歲入歲出簡明比較分析表.xls
2018,3.規費及罰款收入,80749100,107c歲入歲出簡明比較分析表.xls
2018,4.財產收入,25978559,107c歲入歲出簡明比較分析表.xls
2018,5.其他收入,10345110,107c歲入歲出簡明比較分析表.xls
2018,1.一般政務支出,188370601,107c歲入歲出簡明比較分析表.xls
2018,2.國防支出,315921458,107c歲入歲出簡明比較分析表.xls
2018,3.教育科學文化支出,395391062,107c歲入歲出簡明比較分析表.xls
2018,4.經濟發展支出,235203666,107c歲入歲出簡明比較分析表.xls
2018,5.社會福利支出,490681452,107c歲入歲出簡明比較分析表.xls
2018,6.社區發展及環境保護支出,18346122,107c歲入歲出簡明比較分析表.xls
2018,7.退休撫卹支出,140437968,107c歲入歲出簡明比較分析表.xls
2018,8.債務支出,115111817,107c歲入歲出簡明比較分析表.xls
2018,9.補助及其他支出,67398163,107c歲入歲出簡明比較分析表.xls
2019,1.稅課收入,1647107000,108c歲入歲出簡明比較分析表.xls
2019,2.營業盈餘及事業收入,229021861,108c歲入歲出簡明比較分析表.xls
2019,3.規費及罰款收入,79843633,108c歲入歲出簡明比較分析表.xls
2019,4.財產收入,25878408,108c歲入歲出簡明比較分析表.xls
2019,5.其他收入,10711779,108c歲入歲出簡明比較分析表.xls
2019,1.一般政務支出,189033892,108c歲入歲出簡明比較分析表.xls
2019,2.國防支出,324673432,108c歲入歲出簡明比較分析表.xls
2019,3.教育科學文化支出,415679078,108c歲入歲出簡明比較分析表.xls
2019,4.經濟發展支出,242045956,108c歲入歲出簡明比較分析表.xls
2019,5.社會福利支出,491970830,108c歲入歲出簡明比較分析表.xls
2019,6.社區發展及環境保護支出,18941747,108c歲入歲出簡明比較分析表.xls
2019,7.退休撫卹支出,138073838,108c歲入歲出簡明比較分析表.xls
2019,8.債務支出,111513995,108c歲入歲出簡明比較分析表.xls
2019,9.補助及其他支出,66044993,108c歲入歲出簡明比較分析表.xls
2020,1.稅課收入,1679592000,109c歲入歲出簡明比較分析表.xls
2020,2.營業盈餘及事業收入,244253149,109c歲入歲出簡明比較分析表.xls
2020,3.規費及罰款收入,123209133,109c歲入歲出簡明比較分析表.xls
2020,4.財產收入,48017875,109c歲入歲出簡明比較分析表.xls
2020,5.其他收入,11955672,109c歲入歲出簡明比較分析表.xls
2020,1.一般政務支出,197777803,109c歲入歲出簡明比較分析表.xls
2020,2.國防支出,337504654,109c歲入歲出簡明比較分析表.xls
2020,3.教育科學文化支出,420180813,109c歲入歲出簡明比較分析表.xls
2020,4.經濟發展支出,246924200,109c歲入歲出簡明比較分析表.xls
2020,5.社會福利支出,523490751,109c歲入歲出簡明比較分析表.xls
